x,y,title,artist,year,cluster,shelf_no,index,description,hover_text,color
3.0178123,-14.940698,Double Vision,Andreas Steinbrecher,2021,4,7.0,0012,,<b>Double Vision</b><br>Artist: Andreas Steinbrecher<br>Year: 2021<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0012,"rgb(128,177,211)"
9.121392,-7.793239,o.T.,"Philipp, Emanuel Naujoks",2024,4,7.0,0234,,"<b>o.T.</b><br>Artist: Philipp, Emanuel Naujoks<br>Year: 2024<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0234","rgb(128,177,211)"
-4.0708904,5.229726,Air Repair,Manuel Boden,2021/2024,2,3.0,0076,"Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert habe. Pictures of the sky. A sequence of eight images","<b>Air Repair</b><br>Artist: Manuel Boden<br>Year: 2021/2024<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0076<br><br>Bilder des Himmels. Eine Folge von acht Bildern, die ich aus meiner Sammlung von Werbepostkarten von Fluggesellschaften ausgewählt und retuschiert hab...","rgb(190,186,218)"
-5.824258,-7.604582,"Beim Elektrizitätswerk, Mannheim",Lennart Pimpl,2019,4,6.0,0028,,"<b>Beim Elektrizitätswerk, Mannheim</b><br>Artist: Lennart Pimpl<br>Year: 2019<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0028","rgb(128,177,211)"
6.9792504,-3.7610652,Hocker,Paula Rinderle,2024,3,4.0,0060,,<b>Hocker</b><br>Artist: Paula Rinderle<br>Year: 2024<br>Cluster: 3<br>Shelf: 4.0<br>ID: 0060,"rgb(251,128,114)"
2.588793,-13.9129305,Autoportrait I,Andreas Steinbrecher,2020,4,7.0,0010,,<b>Autoportrait I</b><br>Artist: Andreas Steinbrecher<br>Year: 2020<br>Cluster: 4<br>Shelf: 7.0<br>ID: 0010,"rgb(128,177,211)"
-8.580826,15.799556,The Sun,Manuel Boden,2018-ongoing,4,6.0,0093,"Wissenschaftliches Poster über die Sonne, gebleicht durch das Licht eben dieses Sterns. Scientific poster about the sun, bleached by the light of this very star.","<b>The Sun</b><br>Artist: Manuel Boden<br>Year: 2018-ongoing<br>Cluster: 4<br>Shelf: 6.0<br>ID: 0093<br><br>Wissenschaftliches Poster über die Sonne, gebleicht durch das Licht eben dieses Sterns. Scientific poster about the sun, bleached by the light of this...","rgb(128,177,211)"
-5.7832804,27.982477,o. T. (in fleeting memory),Emmélie Lempert,2024,5,8.0,0392,,<b>o. T. (in fleeting memory)</b><br>Artist: Emmélie Lempert<br>Year: 2024<br>Cluster: 5<br>Shelf: 8.0<br>ID: 0392,"rgb(253,180,98)"
15.388601,-5.845734,Pegel 1,Sophie Isabel Urban,2022,4,2.0,0160,,<b>Pegel 1</b><br>Artist: Sophie Isabel Urban<br>Year: 2022<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0160,"rgb(128,177,211)"
15.392784,-5.869665,Pegel 2,Sophie Isabel Urban,2022,4,2.0,0161,,<b>Pegel 2</b><br>Artist: Sophie Isabel Urban<br>Year: 2022<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0161,"rgb(128,177,211)"
-8.230443,21.896923,Gravity,Konstantine Kakabadze,2023,4,2.0,0212,,<b>Gravity</b><br>Artist: Konstantine Kakabadze<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0212,"rgb(128,177,211)"
-6.988824,-6.6823096,"Mannheim, Seckenheim-Hochstätt, Hydranten, Januar 2023",Lennart Pimpl,2023,2,3.0,0026,,"<b>Mannheim, Seckenheim-Hochstätt, Hydranten, Januar 2023</b><br>Artist: Lennart Pimpl<br>Year: 2023<br>Cluster: 2<br>Shelf: 3.0<br>ID: 0026","rgb(190,186,218)"
8.498594,-6.814482,o.T.,Julian Westermann,2020,4,2.0,0268,,<b>o.T.</b><br>Artist: Julian Westermann<br>Year: 2020<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0268,"rgb(128,177,211)"
-21.688015,36.648113,Herbarium - 200 Dollar - Taiwan,Valenta Philipp,2023,4,2.0,0336,,<b>Herbarium - 200 Dollar - Taiwan</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0336,"rgb(128,177,211)"
-21.886005,35.89498,Herbarium - 1000 Yen - Japan,Valenta Philipp,2023,4,2.0,0337,,<b>Herbarium - 1000 Yen - Japan</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0337,"rgb(128,177,211)"
-21.893055,34.656017,Herbarium - 25000 Dinar - Irak ,Valenta Philipp,2023,4,2.0,0338,,<b>Herbarium - 25000 Dinar - Irak </b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0338,"rgb(128,177,211)"
-20.65646,36.47332,Herbarium - 10 Dollar - Hong Kong,Valenta Philipp,2023,4,2.0,0339,,<b>Herbarium - 10 Dollar - Hong Kong</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0339,"rgb(128,177,211)"
-20.635136,34.957508,Herbarium - 500 Drachmen - Griechenland,Valenta Philipp,2023,4,2.0,0327,,<b>Herbarium - 500 Drachmen - Griechenland</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0327,"rgb(128,177,211)"
-20.033266,35.698143,Herbarium - 10 Lari - Georgien,Valenta Philipp,2023,4,2.0,0328,,<b>Herbarium - 10 Lari - Georgien</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0328,"rgb(128,177,211)"
-18.817509,36.007107,Herbarium - 1 Markka - Finnland,,2023,4,2.0,0329,,<b>Herbarium - 1 Markka - Finnland</b><br>Artist: nan<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0329,"rgb(128,177,211)"
-19.803467,36.079006,Herbarium- 50 Penni - Estland,Valenta Philipp,2023,4,2.0,0330,,<b>Herbarium- 50 Penni - Estland</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0330,"rgb(128,177,211)"
-20.510506,37.363113,Herbarium - 1 Jiao - China,Valenta Philipp,2023,4,2.0,0331,,<b>Herbarium - 1 Jiao - China</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0331,"rgb(128,177,211)"
-19.574682,37.581833,Herbarium - 60 Rupien - Bangladesch,Valenta Philipp,2023,4,2.0,0332,,<b>Herbarium - 60 Rupien - Bangladesch</b><br>Artist: Valenta Philipp<br>Year: 2023<br>Cluster: 4<br>Shelf: 2.0<br>ID: 0332,"rgb(128,177,211)"
